,index,minute,second,player.id,player.name,location,shot.type.id,shot.type.name,shot.body_part.id,shot.body_part.name,shot.technique.id,shot.technique.name,shot.first_time,shot.freeze_frame,shot.outcome.id,shot.outcome.name,shot.end_location,under_pressure
0,333,7,39,5246.0,Luis Alberto Suárez Díaz,"[110.5, 36.2]",87.0,Open Play,40.0,Right Foot,93.0,Normal,True,"[{'location': [106.8, 45.6], 'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.2, 36.7], 'player': {'id': 6931, 'name': 'Leandro Chichizola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.5, 38.6], 'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.8, 39.8], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",100.0,Saved,"[113.1, 36.6, 0.9]",False
1,337,8,17,5246.0,Luis Alberto Suárez Díaz,"[114.2, 48.0]",87.0,Open Play,40.0,Right Foot,95.0,Volley,True,"[{'location': [106.1, 48.4], 'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [115.1, 46.8], 'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.5, 43.2], 'player': {'id': 6931, 'name': 'Leandro Chichizola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.6, 41.1], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.9, 40.3], 'player': {'id': 6921, 'name': 'Matías Aguirregaray Guruceaga'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.2, 37.8], 'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.2, 23.1], 'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.2, 32.0], 'player': {'id': 6930, 'name': 'Jonathan Calleri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [112.4, 20.3], 'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [115.6, 35.4], 'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.6, 35.5], 'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.2, 46.9], 'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [116.6, 40.0], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [116.8, 34.6], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [113.9, 30.6], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [96.3, 15.5], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",98.0,Off T,"[120.0, 45.3, 2.8]",True
2,376,10,25,5503.0,Lionel Andrés Messi Cuccittini,"[95.3, 48.3]",62.0,Free Kick,38.0,Left Foot,93.0,Normal,,"[{'location': [104.1, 42.7], 'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.9, 44.5], 'player': {'id': 6930, 'name': 'Jonathan Calleri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [105.1, 45.2], 'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.3, 45.9], 'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.4, 46.7], 'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.2, 48.7], 'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [103.2, 39.8], 'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [107.1, 39.3], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.1, 31.1], 'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [119.2, 38.4], 'player': {'id': 6931, 'name': 'Leandro Chichizola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.5, 35.4], 'player': {'id': 6921, 'name': 'Matías Aguirregaray Guruceaga'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.4, 41.6], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.5, 37.9], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [104.8, 38.7], 'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [88.5, 29.6], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [98.1, 30.8], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [92.8, 47.0], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",100.0,Saved,"[119.0, 43.3, 1.6]",False
3,664,20,16,5503.0,Lionel Andrés Messi Cuccittini,"[99.1, 44.1]",62.0,Free Kick,38.0,Left Foot,93.0,Normal,,"[{'location': [109.3, 39.9], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.8, 38.7], 'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.1, 41.4], 'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.2, 42.3], 'player': {'id': 6930, 'name': 'Jonathan Calleri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.3, 42.6], 'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.4, 43.2], 'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.5, 43.8], 'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.8, 45.6], 'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.5, 38.7], 'player': {'id': 6931, 'name': 'Leandro Chichizola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.3, 33.4], 'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.5, 34.6], 'player': {'id': 6921, 'name': 'Matías Aguirregaray Guruceaga'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 41.1], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [110.1, 39.7], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.5, 32.5], 'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [96.5, 41.0], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [100.0, 33.6], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [95.5, 29.2], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",97.0,Goal,"[120.0, 36.6, 2.2]",False
4,820,25,28,5492.0,Samuel Yves Umtiti,"[112.0, 40.6]",87.0,Open Play,37.0,Head,93.0,Normal,,"[{'location': [97.4, 21.8], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [95.5, 45.3], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [111.7, 33.0], 'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [115.1, 44.1], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [113.5, 32.3], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.1, 47.4], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.8, 24.3], 'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [119.0, 40.2], 'player': {'id': 6931, 'name': 'Leandro Chichizola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.5, 33.4], 'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.5, 19.1], 'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.7, 32.7], 'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [105.0, 45.7], 'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [111.9, 40.0], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.8, 34.8], 'player': {'id': 6921, 'name': 'Matías Aguirregaray Guruceaga'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.6, 44.8], 'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 47.4], 'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.3, 29.5], 'player': {'id': 6930, 'name': 'Jonathan Calleri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [92.6, 31.4], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",100.0,Saved,"[119.0, 41.9, 0.9]",True
5,1446,39,48,5503.0,Lionel Andrés Messi Cuccittini,"[106.8, 36.6]",87.0,Open Play,38.0,Left Foot,93.0,Normal,True,"[{'location': [113.8, 39.0], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.8, 32.7], 'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [110.5, 40.7], 'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.8, 44.6], 'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.1, 37.2], 'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.8, 37.3], 'player': {'id': 6931, 'name': 'Leandro Chichizola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.1, 27.0], 'player': {'id': 6921, 'name': 'Matías Aguirregaray Guruceaga'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.8, 24.3], 'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [113.0, 40.2], 'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [117.4, 22.8], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [100.6, 15.6], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [100.9, 41.1], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.8, 32.8], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [109.2, 37.7], 'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",96.0,Blocked,"[109.3, 37.0]",False
6,1547,42,48,5216.0,Andrés Iniesta Luján,"[106.2, 27.5]",87.0,Open Play,40.0,Right Foot,93.0,Normal,,"[{'location': [117.0, 37.1], 'player': {'id': 6931, 'name': 'Leandro Chichizola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.8, 28.7], 'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [100.1, 40.9], 'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.9, 41.7], 'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.8, 35.7], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.3, 29.9], 'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.7, 28.8], 'player': {'id': 6921, 'name': 'Matías Aguirregaray Guruceaga'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.6, 56.3], 'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [102.0, 37.6], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [98.4, 34.8], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.4, 21.2], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",98.0,Off T,"[120.0, 43.9, 4.0]",True
7,2235,61,44,5246.0,Luis Alberto Suárez Díaz,"[111.0, 27.5]",87.0,Open Play,40.0,Right Foot,91.0,Half Volley,,"[{'location': [116.2, 44.5], 'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.2, 36.2], 'player': {'id': 6931, 'name': 'Leandro Chichizola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 41.9], 'player': {'id': 6921, 'name': 'Matías Aguirregaray Guruceaga'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.9, 45.4], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.4, 50.7], 'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [106.6, 34.7], 'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.4, 42.5], 'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.0, 58.2], 'player': {'id': 6930, 'name': 'Jonathan Calleri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [100.9, 55.1], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [114.8, 45.1], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [108.0, 52.0], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [111.7, 39.3], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [111.0, 34.7], 'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.1, 29.4], 'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",96.0,Blocked,"[112.2, 29.3]",False
8,2239,61,45,5246.0,Luis Alberto Suárez Díaz,"[113.3, 28.3]",87.0,Open Play,38.0,Left Foot,95.0,Volley,True,"[{'location': [111.2, 35.1], 'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.1, 36.9], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.3, 44.5], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [109.8, 49.2], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.6, 50.5], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [117.6, 35.7], 'player': {'id': 6931, 'name': 'Leandro Chichizola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.8, 42.5], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.9, 44.8], 'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.3, 36.7], 'player': {'id': 6921, 'name': 'Matías Aguirregaray Guruceaga'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 47.4], 'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [93.8, 58.5], 'player': {'id': 6930, 'name': 'Jonathan Calleri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [102.2, 36.7], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [104.0, 37.7], 'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.3, 33.8], 'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.3, 30.1], 'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",98.0,Off T,"[120.0, 35.1, 2.8]",False
9,2460,68,55,5503.0,Lionel Andrés Messi Cuccittini,"[93.7, 40.9]",62.0,Free Kick,38.0,Left Foot,93.0,Normal,,"[{'location': [107.8, 37.9], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [106.6, 43.1], 'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.7, 42.4], 'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.8, 40.8], 'player': {'id': 6930, 'name': 'Jonathan Calleri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.8, 40.2], 'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.8, 39.7], 'player': {'id': 6931, 'name': 'Leandro Chichizola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.9, 48.5], 'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [107.8, 35.3], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.4, 31.0], 'player': {'id': 6921, 'name': 'Matías Aguirregaray Guruceaga'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.6, 35.1], 'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.7, 49.7], 'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.1, 31.9], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.2, 33.4], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.9, 50.2], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [91.6, 36.2], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [91.6, 51.2], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [106.8, 41.5], 'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",96.0,Blocked,"[106.5, 41.7]",False
